"Gene_ID","Module"
"gene-MFAP5|MFAP5","darkolivegreen"
"gene-LOC101233449|LOC101233449","turquoise"
"gene-LOC100225878|LOC100225878","lightgreen"
"gene-RIMKLB|RIMKLB","darkgrey"
"gene-LOC100228861|LOC100228861","black"
"gene-LOC100231773|LOC100231773","yellow"
"gene-LOC100219283|LOC100219283","purple"
"gene-LOC100226970|LOC100226970","maroon"
"gene-LOC115494384|LOC115494384","cyan"
"gene-LOC100190538|LOC100190538","royalblue"
"gene-PHC1|PHC1","grey60"
"gene-M6PR|M6PR","green"
"gene-KLRG1|KLRG1","mediumpurple3"
"gene-A2M|A2M","midnightblue"
"gene-GUCY2F|GUCY2F","blue"
"gene-CAPN5|CAPN5","purple"
"gene-TSKU|TSKU","blue"
"gene-ACER3|ACER3","turquoise"
"gene-GDPD4|GDPD4","white"
"gene-MYO7A|MYO7A","pink"
"gene-PAK1|PAK1","green"
"gene-AQP11|AQP11","brown"
"gene-CLNS1A|CLNS1A","saddlebrown"
"gene-RSF1|RSF1","turquoise"
"gene-AAMDC|AAMDC","darkgreen"
"gene-KCTD14|KCTD14","cyan"
"gene-INTS4|INTS4","orangered4"
"gene-NDUFC2|NDUFC2","brown"
"gene-USP35|USP35","grey"
"gene-ALG8|ALG8","brown"
"gene-KCTD21|KCTD21","blue"
"gene-GAB2|GAB2","green"
"gene-NARS2|NARS2","red"
"gene-TENM4|TENM4","brown"
"gene-HIKESHI|HIKESHI","paleturquoise"
"gene-EED|EED","yellow"
"gene-CCDC83|CCDC83","grey"
"gene-PICALM|PICALM","brown"
"gene-SYTL2|SYTL2","grey"
"gene-CCDC89|CCDC89","lightcyan1"
"gene-CCDC90B|CCDC90B","black"
"gene-LOC100222067|LOC100222067","brown"
"gene-DLG2|DLG2","yellow"
"gene-CREBZF|CREBZF","black"
"gene-LOC115497569|LOC115497569","black"
"gene-ANKRD42|ANKRD42","blue"
"gene-LOC140683682|LOC140683682","brown"
"gene-LOC116808047|LOC116808047","brown"
"gene-LOC115494435|LOC115494435","brown"
"gene-LOC116808046|LOC116808046","brown"
"gene-LOC115494437|LOC115494437","brown"
"gene-PCF11|PCF11","yellow"
"gene-LOC140683700|LOC140683700","blue"
"gene-LOC140683699|LOC140683699","lightcyan1"
"gene-RAB30|RAB30","brown"
"gene-DDIAS|DDIAS","blue"
"gene-FAM181B|FAM181B","palevioletred3"
"gene-PRCP|PRCP","green"
"gene-ME3|ME3","blue"
"gene-PRSS23|PRSS23","lightpink4"
"gene-FZD4|FZD4","pink"
"gene-TMEM135|TMEM135","brown"
"gene-GRM5|GRM5","skyblue"
"gene-RAB38|RAB38","orangered4"
"gene-CTSC|CTSC","blue"
"gene-NOX4|NOX4","blue"
"gene-LOC100223080|LOC100223080","red"
"gene-LOC100225953|LOC100225953","salmon"
"gene-CHORDC1|CHORDC1","blue"
"gene-LOC100226294|LOC100226294","darkred"
"gene-SLC36A4|SLC36A4","brown"
"gene-FAT3|FAT3","blue"
"gene-DEUP1|DEUP1","thistle1"
"gene-SMCO4|SMCO4","brown"
"gene-CEP295|CEP295","yellow"
"gene-TAF1D|TAF1D","yellow"
"gene-LOC115497799|LOC115497799","white"
"gene-LOC115497798|LOC115497798","magenta"
"gene-LOC115497806|LOC115497806","red"
"gene-LOC115497791|LOC115497791","grey"
"gene-LOC115497800|LOC115497800","darkred"
"gene-LOC115497795|LOC115497795","darkseagreen4"
"gene-C1H11orf54|C1H11orf54","red"
"gene-MED17|MED17","red"
"gene-PANX1|PANX1","tan"
"gene-VSTM5|VSTM5","grey"
"gene-LOC121469732|LOC121469732","lightcyan1"
"gene-LOC100223483|LOC100223483","white"
"gene-LOC140683747|LOC140683747","white"
"gene-LOC100226358|LOC100226358","royalblue"
"gene-FUT4|FUT4","salmon"
"gene-MRE11|MRE11","purple"
"gene-GPR83|GPR83","lightyellow"
"gene-ANKRD49|ANKRD49","brown"
"gene-AMOTL1|AMOTL1","thistle1"
"gene-ENDOD1|ENDOD1","turquoise"
"gene-CWC15|CWC15","saddlebrown"
"gene-SESN3|SESN3","brown"
"gene-FAM76B|FAM76B","darkmagenta"
"gene-MTMR2|MTMR2","red"
"gene-CEP57|CEP57","thistle2"
"gene-MAML2|MAML2","red"
"gene-CCDC82|CCDC82","darkred"
"gene-LOC140680318|LOC140680318","white"
"gene-CNTN5|CNTN5","cyan"
"gene-PGR|PGR","red"
"gene-TRPC6|TRPC6","green"
"gene-CEP126|CEP126","yellowgreen"
"gene-CFAP300|CFAP300","bisque4"
"gene-ARHGAP42|ARHGAP42","brown"
"gene-YAP1|YAP1","turquoise"
"gene-BIRC2|BIRC2","blue"
"gene-TMEM123|TMEM123","skyblue"
"gene-MMP7|MMP7","green"
"gene-LOC100217703|LOC100217703","darkgreen"
"gene-PDGFD|PDGFD","yellowgreen"
"gene-DCUN1D5|DCUN1D5","skyblue3"
"gene-DYNC2H1|DYNC2H1","blue"
"gene-MSANTD4|MSANTD4","black"
"gene-KBTBD3|KBTBD3","blue"
"gene-AASDHPPT|AASDHPPT","thistle2"
"gene-GUCY1A2|GUCY1A2","orange"
"gene-CWF19L2|CWF19L2","pink"
"gene-ALKBH8|ALKBH8","purple"
"gene-ELMOD1|ELMOD1","turquoise"
"gene-SLC35F2|SLC35F2","brown"
"gene-RAB39A|RAB39A","purple"
"gene-CUL5|CUL5","brown"
"gene-NPAT|NPAT","yellow"
"gene-ATM|ATM","purple"
"gene-ACAT1|ACAT1","grey"
"gene-POGLUT3|POGLUT3","turquoise"
"gene-EXPH5|EXPH5","darkslateblue"
"gene-DDX10|DDX10","pink"
"gene-C1H11orf87|C1H11orf87","pink"
"gene-LOC140683854|LOC140683854","purple"
"gene-LOC115494885|LOC115494885","lightsteelblue1"
"gene-LOC140680324|LOC140680324","orangered4"
"gene-SPRY2|SPRY2","purple"
"gene-LOC116808177|LOC116808177","lightgreen"
"gene-NDFIP2|NDFIP2","brown"
"gene-RBM26|RBM26","yellowgreen"
"gene-OBI1|OBI1","brown"
"gene-SLAIN1|SLAIN1","green"
"gene-SCEL|SCEL","darkolivegreen"
"gene-EDNRB|EDNRB","darkslateblue"
"gene-MYCBP2|MYCBP2","lightsteelblue1"
"gene-FBXL3|FBXL3","skyblue"
"gene-CLN5|CLN5","turquoise"
"gene-ACOD1|ACOD1","green"
"gene-LOC100222462|LOC100222462","greenyellow"
"gene-KCTD12|KCTD12","green"
"gene-UCHL3|UCHL3","cyan"
"gene-LMO7|LMO7","brown"
"gene-LOC121469884|LOC121469884","grey60"
"gene-TBC1D4|TBC1D4","yellow"
"gene-COMMD6|COMMD6","greenyellow"
"gene-KLF5|KLF5","plum1"
"gene-KLF12|KLF12","skyblue3"
"gene-MZT1|MZT1","salmon"
"gene-PIBF1|PIBF1","grey"
"gene-DIS3|DIS3","salmon4"
"gene-BORA|BORA","purple"
"gene-DACH1|DACH1","purple"
"gene-LOC140685219|LOC140685219","black"
"gene-LOC140680326|LOC140680326","white"
"gene-KLHL1|KLHL1","violet"
"gene-PCDH20|PCDH20","skyblue"
"gene-PCDH9|PCDH9","salmon"
"gene-TDRD3|TDRD3","turquoise"
"gene-DIAPH3|DIAPH3","green"
"gene-PCDH17|PCDH17","grey60"
"gene-OLFM4|OLFM4","lightcyan1"
"gene-CNMD|CNMD","darkolivegreen"
"gene-SUGT1|SUGT1","blue"
"gene-ELF1|ELF1","green"
"gene-WBP4|WBP4","blue"
"gene-RGCC|RGCC","blue"
"gene-MTRF1|MTRF1","darkgreen"
"gene-NAA16|NAA16","brown"
"gene-VWA8|VWA8","turquoise"
"gene-DGKH|DGKH","pink"
"gene-TNFSF11|TNFSF11","tan"
"gene-AKAP11|AKAP11","lightgreen"
"gene-EPSTI1|EPSTI1","purple"
"gene-DNAJC15|DNAJC15","brown"
"gene-LACC1|LACC1","green"
"gene-LOC115495129|LOC115495129","tan"
"gene-ENOX1|ENOX1","brown"
"gene-LOC115495125|LOC115495125","white"
"gene-TSC22D1|TSC22D1","blue"
"gene-NUFIP1|NUFIP1","turquoise"
"gene-GPALPP1|GPALPP1","darkred"
"gene-GTF2F2|GTF2F2","brown"
"gene-LOC115497790|LOC115497790","yellow"
"gene-TPT1|TPT1","magenta"
"gene-LOC115497789|LOC115497789","blue"
"gene-SLC25A30|SLC25A30","ivory"
"gene-COG3|COG3","brown"
"gene-ZC3H13|ZC3H13","pink"
"gene-CPB2|CPB2","blue"
"gene-RUBCNL|RUBCNL","darkslateblue"
"gene-LCP1|LCP1","green"
"gene-LRCH1|LRCH1","grey"
"gene-HTR2A|HTR2A","brown"
"gene-LOC140684150|LOC140684150","blue"
"gene-ESD|ESD","brown"
"gene-SUCLA2|SUCLA2","brown"
"gene-NUDT15|NUDT15","red"
"gene-MED4|MED4","red"
"gene-LOC121470752|LOC121470752","blue"
"gene-ITM2B|ITM2B","green"
"gene-RB1|RB1","turquoise"
"gene-LPAR6|LPAR6","blue"
"gene-ARL11|ARL11","blue"
"gene-KPNA3|KPNA3","brown"
"gene-LOC100224365|LOC100224365","yellow"
"gene-FNDC3A|FNDC3A","red"
"gene-CAB39L|CAB39L","blue"
"gene-CYSLTR2|CYSLTR2","darkorange"
"gene-CDADC1|CDADC1","lightyellow"
"gene-SETDB2|SETDB2","turquoise"
"gene-PHF11|PHF11","purple"
"gene-RCBTB1|RCBTB1","blue"
"gene-SPRYD7|SPRYD7","brown"
"gene-LOC115495302|LOC115495302","grey60"
"gene-TRIM13|TRIM13","pink"
"gene-LOC140684186|LOC140684186","lightcyan"
"gene-LOC105758667|LOC105758667","grey60"
"gene-KCNRG|KCNRG","turquoise"
"gene-FAM124A|FAM124A","purple"
"gene-RNASEH2B|RNASEH2B","grey60"
"gene-DHRS12|DHRS12","midnightblue"
"gene-INTS6|INTS6","yellow"
"gene-LOC115495315|LOC115495315","yellow"
"gene-WDFY2|WDFY2","yellowgreen"
"gene-ATP7B|ATP7B","lightgreen"
"gene-ALG11|ALG11","red"
"gene-NEK5|NEK5","darkorange"
"gene-NEK3|NEK3","black"
"gene-CKAP2|CKAP2","green"
"gene-VPS36|VPS36","red"
"gene-THSD1|THSD1","darkgrey"
"gene-LOC100228216|LOC100228216","plum1"
"gene-LOC100231076|LOC100231076","greenyellow"
"gene-SLC25A15|SLC25A15","red"
"gene-MRPS31|MRPS31","darkred"
"gene-FOXO1|FOXO1","turquoise"
"gene-COG6|COG6","turquoise"
"gene-LHFPL6|LHFPL6","thistle2"
"gene-NHLRC3|NHLRC3","pink"
"gene-PROSER1|PROSER1","yellow"
"gene-FREM2|FREM2","darkslateblue"
"gene-LOC100231134|LOC100231134","magenta"
"gene-TRPC4|TRPC4","grey"
"gene-POSTN|POSTN","blue"
"gene-UFM1|UFM1","brown"
"gene-SMAD9|SMAD9","salmon"
"gene-SUPT20H|SUPT20H","paleturquoise"
"gene-EXOSC8|EXOSC8","blue"
"gene-ALG5|ALG5","brown"
"gene-SERTM1|SERTM1","green"
"gene-CCNA1|CCNA1","grey"
"gene-RFXAP|RFXAP","magenta"
"gene-SPART|SPART","thistle2"
"gene-DCLK1|DCLK1","saddlebrown"
"gene-NBEA|NBEA","blue"
"gene-MAB21L1|MAB21L1","purple"
"gene-RFC3|RFC3","brown"
"gene-KL|KL","saddlebrown"
"gene-STARD13|STARD13","grey60"
"gene-LOC115495505|LOC115495505","grey"
"gene-PDS5B|PDS5B","brown"
"gene-BRCA2|BRCA2","yellow"
"gene-N4BP2L2|N4BP2L2","cyan"
"gene-LOC140680228|LOC140680228","greenyellow"
"gene-N4BP2L1|N4BP2L1","brown"
"gene-FRY|FRY","black"
"gene-B3GLCT|B3GLCT","yellow"
