"GeneID","Symbol"
"gene-SEPTIN9|SEPTIN9","SEPTIN9"
"gene-ANKRD13B|ANKRD13B","ANKRD13B"
"gene-PROSER1|PROSER1","PROSER1"
"gene-PLEKHA3|PLEKHA3","PLEKHA3"
"gene-LOC116806889|LOC116806889","LOC116806889"
"gene-GUCD1|GUCD1","GUCD1"
"gene-LOC140684960|LOC140684960","LOC140684960"
"gene-WDR12|WDR12","WDR12"
"gene-PIGK|PIGK","PIGK"
"gene-PDPK1|PDPK1","PDPK1"
"gene-RPAP2|RPAP2","RPAP2"
"gene-NDFIP1|NDFIP1","NDFIP1"
"gene-EXOC5|EXOC5","EXOC5"
"gene-EPO|EPO","EPO"
"gene-BRMS1L|BRMS1L","BRMS1L"
"gene-NDUFAF2|NDUFAF2","NDUFAF2"
"gene-VPS41|VPS41","VPS41"
"gene-CAVIN2|CAVIN2","CAVIN2"
"gene-BCL2|BCL2","BCL2"
"gene-LOC115493101|LOC115493101","LOC115493101"
"gene-LBHD2|LBHD2","LBHD2"
"gene-IL5RA|IL5RA","IL5RA"
"gene-FRS2|FRS2","FRS2"
"gene-TRAPPC11|TRAPPC11","TRAPPC11"
"gene-CHRNA3|CHRNA3","CHRNA3"
"gene-ABCD2|ABCD2","ABCD2"
"gene-C12H3orf18|C12H3orf18","C12H3orf18"
"gene-PRKCA|PRKCA","PRKCA"
"gene-TUBA1B|TUBA1B","TUBA1B"
"gene-USP24|USP24","USP24"
"gene-IL10RB|IL10RB","IL10RB"
"gene-PITPNA|PITPNA","PITPNA"
"gene-SYNRG|SYNRG","SYNRG"
"gene-FAM219B|FAM219B","FAM219B"
"gene-KCNRG|KCNRG","KCNRG"
"gene-SNX4|SNX4","SNX4"
"gene-N4BP2|N4BP2","N4BP2"
"gene-THUMPD3|THUMPD3","THUMPD3"
"gene-PRKRIP1|PRKRIP1","PRKRIP1"
"gene-TMEM50B|TMEM50B","TMEM50B"
"gene-IL10RA|IL10RA","IL10RA"
"gene-GPN3|GPN3","GPN3"
"gene-HMGN3|HMGN3","HMGN3"
"gene-LOC140681168|LOC140681168","LOC140681168"
"gene-GNG2|GNG2","GNG2"
"gene-ALS2|ALS2","ALS2"
"gene-MACROD2|MACROD2","MACROD2"
"gene-LOC115494875|LOC115494875","LOC115494875"
"gene-SCAMP4|SCAMP4","SCAMP4"
"gene-SLF2|SLF2","SLF2"
"gene-LRPPRC|LRPPRC","LRPPRC"
"gene-COL4A4|COL4A4","COL4A4"
"gene-GRAP2|GRAP2","GRAP2"
"gene-TRMU|TRMU","TRMU"
"gene-RAP1A|RAP1A","RAP1A"
"gene-KIAA0930|KIAA0930","KIAA0930"
"gene-FKBP11|FKBP11","FKBP11"
"gene-GCC2|GCC2","GCC2"
