"GeneID","Symbol"
"gene-TJP3|TJP3","TJP3"
"gene-TRDMT1|TRDMT1","TRDMT1"
"gene-ABRAXAS2|ABRAXAS2","ABRAXAS2"
"gene-LOC140683988|LOC140683988","LOC140683988"
"gene-LOC140681828|LOC140681828","LOC140681828"
"gene-LOC140680461|LOC140680461","LOC140680461"
"gene-CIMIP4|CIMIP4","CIMIP4"
"gene-DNAAF2|DNAAF2","DNAAF2"
"gene-PTX4|PTX4","PTX4"
"gene-BRD2|BRD2","BRD2"
"gene-CLCNKA|CLCNKA","CLCNKA"
"gene-ESRP1|ESRP1","ESRP1"
"gene-TAS1R1|TAS1R1","TAS1R1"
"gene-MCM8|MCM8","MCM8"
"gene-LOC100220064|LOC100220064","LOC100220064"
"gene-LOC140681383|LOC140681383","LOC140681383"
"gene-LOC140683908|LOC140683908","LOC140683908"
"gene-PDE4C|PDE4C","PDE4C"
"gene-LOC140680779|LOC140680779","LOC140680779"
"gene-CRYBB2|CRYBB2","CRYBB2"
"gene-CSRNP2|CSRNP2","CSRNP2"
"gene-PQBP1|PQBP1","PQBP1"
"gene-SLC15A2|SLC15A2","SLC15A2"
"gene-PRKCG|PRKCG","PRKCG"
"gene-IGFN1|IGFN1","IGFN1"
"gene-LOC140684798|LOC140684798","LOC140684798"
"gene-NOXO1|NOXO1","NOXO1"
"gene-LOC140680411|LOC140680411","LOC140680411"
"gene-G6PC1|G6PC1","G6PC1"
"gene-LOC140682064|LOC140682064","LOC140682064"
"gene-HORMAD1|HORMAD1","HORMAD1"
"gene-SCUBE3|SCUBE3","SCUBE3"
"gene-RAB11FIP3|RAB11FIP3","RAB11FIP3"
"gene-LOC140684006|LOC140684006","LOC140684006"
"gene-ACSBG2|ACSBG2","ACSBG2"
"gene-RAB30|RAB30","RAB30"
"gene-LOC140683599|LOC140683599","LOC140683599"
"gene-CAAP1|CAAP1","CAAP1"
"gene-GPR152|GPR152","GPR152"
"gene-LOC100231572|LOC100231572","LOC100231572"
"gene-HDAC6|HDAC6","HDAC6"
"gene-CABLES2|CABLES2","CABLES2"
"gene-LRRC10|LRRC10","LRRC10"
