"GeneID","Symbol"
"gene-LOC100218088|LOC100218088","LOC100218088"
"gene-LOC121471016|LOC121471016","LOC121471016"
"gene-FBXO31|FBXO31","FBXO31"
"gene-LOC140684167|LOC140684167","LOC140684167"
"gene-LOC100232561|LOC100232561","LOC100232561"
"gene-LOC115493976|LOC115493976","LOC115493976"
"gene-LOC121470730|LOC121470730","LOC121470730"
"gene-MAPK1IP1L|MAPK1IP1L","MAPK1IP1L"
"gene-LOC121469438|LOC121469438","LOC121469438"
"gene-NXT2|NXT2","NXT2"
"gene-FRMD5|FRMD5","FRMD5"
"gene-RPS6|RPS6","RPS6"
"gene-GALNT16|GALNT16","GALNT16"
"gene-RPL32|RPL32","RPL32"
"gene-AGBL2|AGBL2","AGBL2"
"gene-SRP9|SRP9","SRP9"
"gene-USP7|USP7","USP7"
"gene-LOC121470626|LOC121470626","LOC121470626"
"gene-MICALL1|MICALL1","MICALL1"
"gene-IFRD1|IFRD1","IFRD1"
"gene-TTLL4|TTLL4","TTLL4"
"gene-DDI2|DDI2","DDI2"
"gene-LOC140681027|LOC140681027","LOC140681027"
"gene-CACFD1|CACFD1","CACFD1"
"gene-TLK2|TLK2","TLK2"
"gene-LOC115490872|LOC115490872","LOC115490872"
"gene-G3BP1|G3BP1","G3BP1"
"gene-LOC100189937|LOC100189937","LOC100189937"
"gene-KIF27|KIF27","KIF27"
"gene-LOC115495691|LOC115495691","LOC115495691"
"gene-PAPOLA|PAPOLA","PAPOLA"
"gene-C1AH12orf50|C1AH12orf50","C1AH12orf50"
"gene-MIIP|MIIP","MIIP"
"gene-C4H2orf81|C4H2orf81","C4H2orf81"
"gene-UBXN4|UBXN4","UBXN4"
