"GeneID","Symbol"
"gene-DEGS1|DEGS1","DEGS1"
"gene-AK9|AK9","AK9"
"gene-RNFT1|RNFT1","RNFT1"
"gene-CGAS|CGAS","CGAS"
"gene-CNRIP1|CNRIP1","CNRIP1"
"gene-YY1|YY1","YY1"
"gene-LOC115497603|LOC115497603","LOC115497603"
"gene-LOC140681743|LOC140681743","LOC140681743"
"gene-PHF3|PHF3","PHF3"
"gene-PPP1CB|PPP1CB","PPP1CB"
"gene-FKBP4|FKBP4","FKBP4"
"gene-ARL8B|ARL8B","ARL8B"
"gene-LOC121470955|LOC121470955","LOC121470955"
"gene-LOC140682102|LOC140682102","LOC140682102"
"gene-C18H17orf75|C18H17orf75","C18H17orf75"
"gene-SPRED1|SPRED1","SPRED1"
"gene-LOC140683561|LOC140683561","LOC140683561"
"gene-RBM24|RBM24","RBM24"
"gene-TBC1D22B|TBC1D22B","TBC1D22B"
"gene-LOC121470097|LOC121470097","LOC121470097"
"gene-SEC14L1|SEC14L1","SEC14L1"
"gene-LOC140682432|LOC140682432","LOC140682432"
"gene-TMCO3|TMCO3","TMCO3"
"gene-HERC1|HERC1","HERC1"
"gene-KMT5A|KMT5A","KMT5A"
"gene-MARCHF2|MARCHF2","MARCHF2"
"gene-PNRC2|PNRC2","PNRC2"
"gene-TGM1|TGM1","TGM1"
"gene-ENO2|ENO2","ENO2"
"gene-MYLIP|MYLIP","MYLIP"
"gene-SSBP3|SSBP3","SSBP3"
"gene-RPSA|RPSA","RPSA"
"gene-STK17B|STK17B","STK17B"
"gene-UBR7|UBR7","UBR7"
"gene-ZRSR2|ZRSR2","ZRSR2"
"gene-MEP1B|MEP1B","MEP1B"
"gene-LOC115496485|LOC115496485","LOC115496485"
"gene-LOC140684476|LOC140684476","LOC140684476"
"gene-HARBI1|HARBI1","HARBI1"
"gene-LOC140684007|LOC140684007","LOC140684007"
"gene-SNX2|SNX2","SNX2"
"gene-SOX6|SOX6","SOX6"
"gene-EIF4A1|EIF4A1","EIF4A1"
"gene-LOC105759121|LOC105759121","LOC105759121"
"gene-LOC140680217|LOC140680217","LOC140680217"
"gene-LOC116808970|LOC116808970","LOC116808970"
"gene-SGK1|SGK1","SGK1"
"gene-LOC115497063|LOC115497063","LOC115497063"
"gene-CCDC13|CCDC13","CCDC13"
"gene-BEND2|BEND2","BEND2"
"gene-TRMT9B|TRMT9B","TRMT9B"
"gene-FTH1|FTH1","FTH1"
"gene-LOC140684932|LOC140684932","LOC140684932"
"gene-LOC121471026|LOC121471026","LOC121471026"
"gene-LOC115497123|LOC115497123","LOC115497123"
"gene-VXN|VXN","VXN"
"gene-LOC115492926|LOC115492926","LOC115492926"
"gene-MKLN1|MKLN1","MKLN1"
"gene-SLC25A32|SLC25A32","SLC25A32"
"gene-VSIG10|VSIG10","VSIG10"
"gene-PABPC1|PABPC1","PABPC1"
"gene-RAB3IL1|RAB3IL1","RAB3IL1"
"gene-URB2|URB2","URB2"
"gene-LOC140683709|LOC140683709","LOC140683709"
"gene-LOC140682172|LOC140682172","LOC140682172"
"gene-SLC25A5|SLC25A5","SLC25A5"
"gene-NCOR1|NCOR1","NCOR1"
"gene-LOC115496385|LOC115496385","LOC115496385"
"gene-MDFIC|MDFIC","MDFIC"
"gene-TMEM183A|TMEM183A","TMEM183A"
"gene-LOC101233484|LOC101233484","LOC101233484"
"gene-ITM2A|ITM2A","ITM2A"
"gene-SLC45A4|SLC45A4","SLC45A4"
"gene-IDH1|IDH1","IDH1"
"gene-LOC115496949|LOC115496949","LOC115496949"
"gene-SLC25A24|SLC25A24","SLC25A24"
"gene-SLITRK3|SLITRK3","SLITRK3"
"gene-KIF2A|KIF2A","KIF2A"
"gene-LOC115491258|LOC115491258","LOC115491258"
"gene-NRP1|NRP1","NRP1"
"gene-LOC121469287|LOC121469287","LOC121469287"
"gene-LOC100225248|LOC100225248","LOC100225248"
"gene-P4HA2|P4HA2","P4HA2"
"gene-VPS33A|VPS33A","VPS33A"
"gene-RNF146|RNF146","RNF146"
"gene-ING5|ING5","ING5"
"gene-MTHFSD|MTHFSD","MTHFSD"
"gene-LOC140682174|LOC140682174","LOC140682174"
"gene-PCMTD2|PCMTD2","PCMTD2"
"gene-LOC105758514|LOC105758514","LOC105758514"
"gene-EDRF1|EDRF1","EDRF1"
"gene-RAE1|RAE1","RAE1"
"gene-LOC140682128|LOC140682128","LOC140682128"
"gene-KLF6|KLF6","KLF6"
"gene-TRIP12|TRIP12","TRIP12"
"gene-LOC140683833|LOC140683833","LOC140683833"
"gene-DYNLL2|DYNLL2","DYNLL2"
"gene-IPP|IPP","IPP"
"gene-TIMP3|TIMP3","TIMP3"
"gene-MYCT1|MYCT1","MYCT1"
"gene-PLRG1|PLRG1","PLRG1"
"gene-SKP1|SKP1","SKP1"
"gene-DLG1|DLG1","DLG1"
"gene-PODXL|PODXL","PODXL"
"gene-MRNIP|MRNIP","MRNIP"
"gene-RAB21|RAB21","RAB21"
"gene-LOC140681735|LOC140681735","LOC140681735"
"gene-LOC121469426|LOC121469426","LOC121469426"
"gene-LIN7C|LIN7C","LIN7C"
"gene-NFE2L2|NFE2L2","NFE2L2"
"gene-KIF3B|KIF3B","KIF3B"
"gene-CDC123|CDC123","CDC123"
"gene-LOC140681732|LOC140681732","LOC140681732"
"gene-LOC115497306|LOC115497306","LOC115497306"
"gene-PTCD1|PTCD1","PTCD1"
"gene-ITGA6|ITGA6","ITGA6"
"gene-STMN1|STMN1","STMN1"
"gene-DNAI4|DNAI4","DNAI4"
"gene-LOC121470124|LOC121470124","LOC121470124"
"gene-SLTM|SLTM","SLTM"
"gene-LOC100221565|LOC100221565","LOC100221565"
"gene-CRKL|CRKL","CRKL"
"gene-REXO4|REXO4","REXO4"
"gene-LOC115490864|LOC115490864","LOC115490864"
"gene-PLEK|PLEK","PLEK"
"gene-KIFAP3|KIFAP3","KIFAP3"
"gene-ADIPOR2|ADIPOR2","ADIPOR2"
"gene-JAKMIP1|JAKMIP1","JAKMIP1"
"gene-TRMT61B|TRMT61B","TRMT61B"
"gene-MTMR2|MTMR2","MTMR2"
"gene-LOC115495198|LOC115495198","LOC115495198"
"gene-LOC115494116|LOC115494116","LOC115494116"
"gene-EEF1A1|EEF1A1","EEF1A1"
"gene-RSF1|RSF1","RSF1"
"gene-LOC121470309|LOC121470309","LOC121470309"
"gene-YWHAE|YWHAE","YWHAE"
"gene-FZD8|FZD8","FZD8"
"gene-NAB1|NAB1","NAB1"
"gene-MAD2L1BP|MAD2L1BP","MAD2L1BP"
"gene-POLK|POLK","POLK"
"gene-NT5C1A|NT5C1A","NT5C1A"
"gene-ORC3|ORC3","ORC3"
"gene-RAB3IP|RAB3IP","RAB3IP"
