"Gene_ID","Module"
"gene-LOC100190538|LOC100190538","blue"
"gene-PHC1|PHC1","lightcyan"
"gene-M6PR|M6PR","blue"
"gene-KLRG1|KLRG1","blue"
"gene-A2M|A2M","red"
"gene-GUCY2F|GUCY2F","midnightblue"
"gene-CAPN5|CAPN5","grey"
"gene-TSKU|TSKU","turquoise"
"gene-ACER3|ACER3","blue"
"gene-GDPD4|GDPD4","grey"
"gene-MYO7A|MYO7A","grey"
"gene-PAK1|PAK1","blue"
"gene-AQP11|AQP11","green"
"gene-CLNS1A|CLNS1A","salmon"
"gene-RSF1|RSF1","grey"
"gene-AAMDC|AAMDC","magenta"
"gene-KCTD14|KCTD14","blue"
"gene-INTS4|INTS4","turquoise"
"gene-NDUFC2|NDUFC2","yellow"
"gene-USP35|USP35","grey"
"gene-ALG8|ALG8","salmon4"
"gene-KCTD21|KCTD21","darkgrey"
"gene-GAB2|GAB2","blue"
"gene-NARS2|NARS2","grey"
"gene-TENM4|TENM4","grey"
"gene-HIKESHI|HIKESHI","greenyellow"
"gene-EED|EED","turquoise"
"gene-CCDC83|CCDC83","brown4"
"gene-PICALM|PICALM","green"
"gene-SYTL2|SYTL2","grey"
"gene-CCDC89|CCDC89","grey"
"gene-CCDC90B|CCDC90B","red"
"gene-LOC100222067|LOC100222067","turquoise"
"gene-DLG2|DLG2","darkgrey"
"gene-CREBZF|CREBZF","turquoise"
"gene-LOC115497569|LOC115497569","turquoise"
"gene-ANKRD42|ANKRD42","black"
"gene-LOC140683682|LOC140683682","green"
"gene-LOC116808047|LOC116808047","green"
"gene-LOC115494435|LOC115494435","green"
"gene-LOC116808046|LOC116808046","green"
"gene-LOC115494437|LOC115494437","green"
"gene-PCF11|PCF11","turquoise"
"gene-LOC140683700|LOC140683700","darkgrey"
"gene-LOC140683699|LOC140683699","turquoise"
"gene-RAB30|RAB30","yellow"
"gene-DDIAS|DDIAS","floralwhite"
"gene-FAM181B|FAM181B","violet"
"gene-PRCP|PRCP","blue"
"gene-ME3|ME3","pink"
"gene-PRSS23|PRSS23","brown"
"gene-FZD4|FZD4","green"
"gene-TMEM135|TMEM135","green"
"gene-GRM5|GRM5","black"
"gene-RAB38|RAB38","turquoise"
"gene-CTSC|CTSC","blue"
"gene-NOX4|NOX4","grey"
"gene-LOC100223080|LOC100223080","brown"
"gene-LOC100225953|LOC100225953","tan"
"gene-CHORDC1|CHORDC1","purple"
"gene-LOC100226294|LOC100226294","grey"
"gene-SLC36A4|SLC36A4","grey"
"gene-FAT3|FAT3","darkred"
"gene-DEUP1|DEUP1","greenyellow"
"gene-SMCO4|SMCO4","brown"
"gene-CEP295|CEP295","black"
"gene-TAF1D|TAF1D","turquoise"
"gene-LOC115497799|LOC115497799","grey"
"gene-LOC115497798|LOC115497798","magenta"
"gene-LOC115497806|LOC115497806","grey"
"gene-LOC115497791|LOC115497791","turquoise"
"gene-LOC115497800|LOC115497800","grey"
"gene-LOC115497795|LOC115497795","green"
"gene-C1H11orf54|C1H11orf54","skyblue3"
"gene-MED17|MED17","brown"
"gene-PANX1|PANX1","blue"
"gene-VSTM5|VSTM5","cyan"
"gene-LOC121469732|LOC121469732","turquoise"
"gene-LOC100223483|LOC100223483","turquoise"
"gene-LOC140683747|LOC140683747","lightcyan"
"gene-LOC100226358|LOC100226358","grey"
"gene-FUT4|FUT4","darkorange"
"gene-MRE11|MRE11","blue"
"gene-GPR83|GPR83","lightpink4"
"gene-ANKRD49|ANKRD49","greenyellow"
"gene-AMOTL1|AMOTL1","steelblue"
"gene-ENDOD1|ENDOD1","darkgrey"
"gene-CWC15|CWC15","brown"
"gene-SESN3|SESN3","brown"
"gene-FAM76B|FAM76B","turquoise"
"gene-MTMR2|MTMR2","brown"
"gene-CEP57|CEP57","lightcyan"
"gene-MAML2|MAML2","brown"
"gene-CCDC82|CCDC82","lightyellow"
"gene-LOC140680318|LOC140680318","black"
"gene-CNTN5|CNTN5","grey"
"gene-PGR|PGR","cyan"
"gene-TRPC6|TRPC6","saddlebrown"
"gene-CFAP300|CFAP300","grey"
"gene-ARHGAP42|ARHGAP42","grey"
"gene-YAP1|YAP1","brown"
"gene-BIRC2|BIRC2","black"
"gene-TMEM123|TMEM123","blue"
"gene-MMP7|MMP7","midnightblue"
"gene-LOC100217703|LOC100217703","grey"
"gene-PDGFD|PDGFD","blue"
"gene-DCUN1D5|DCUN1D5","turquoise"
"gene-DYNC2H1|DYNC2H1","red"
"gene-MSANTD4|MSANTD4","turquoise"
"gene-KBTBD3|KBTBD3","tan"
"gene-AASDHPPT|AASDHPPT","saddlebrown"
"gene-GUCY1A2|GUCY1A2","grey"
"gene-CWF19L2|CWF19L2","black"
"gene-ALKBH8|ALKBH8","red"
"gene-ELMOD1|ELMOD1","tan"
"gene-SLC35F2|SLC35F2","royalblue"
"gene-RAB39A|RAB39A","pink"
"gene-CUL5|CUL5","purple"
"gene-NPAT|NPAT","turquoise"
"gene-ATM|ATM","black"
"gene-ACAT1|ACAT1","yellow"
"gene-POGLUT3|POGLUT3","grey"
"gene-EXPH5|EXPH5","turquoise"
"gene-DDX10|DDX10","floralwhite"
"gene-C1H11orf87|C1H11orf87","grey"
"gene-LOC140683854|LOC140683854","skyblue"
"gene-LOC115494885|LOC115494885","pink"
"gene-LOC140680324|LOC140680324","red"
"gene-SPRY2|SPRY2","lightcyan"
"gene-LOC116808177|LOC116808177","plum1"
"gene-NDFIP2|NDFIP2","brown"
"gene-RBM26|RBM26","brown"
"gene-OBI1|OBI1","brown"
"gene-SLAIN1|SLAIN1","turquoise"
"gene-SCEL|SCEL","grey"
"gene-EDNRB|EDNRB","greenyellow"
"gene-MYCBP2|MYCBP2","darkgrey"
"gene-FBXL3|FBXL3","purple"
"gene-CLN5|CLN5","grey"
"gene-ACOD1|ACOD1","blue"
"gene-LOC100222462|LOC100222462","yellow"
"gene-KCTD12|KCTD12","blue"
"gene-UCHL3|UCHL3","blue"
"gene-LMO7|LMO7","green"
"gene-LOC140680325|LOC140680325","turquoise"
"gene-LOC121469884|LOC121469884","turquoise"
"gene-TBC1D4|TBC1D4","lightgreen"
"gene-COMMD6|COMMD6","brown"
"gene-KLF5|KLF5","tan"
"gene-KLF12|KLF12","lightcyan"
"gene-MZT1|MZT1","red"
"gene-PIBF1|PIBF1","thistle2"
"gene-DIS3|DIS3","red"
"gene-BORA|BORA","black"
"gene-DACH1|DACH1","grey"
"gene-LOC140685219|LOC140685219","white"
"gene-LOC140680326|LOC140680326","paleturquoise"
"gene-KLHL1|KLHL1","plum1"
"gene-PCDH20|PCDH20","lightgreen"
"gene-PCDH9|PCDH9","yellow"
"gene-TDRD3|TDRD3","brown"
"gene-DIAPH3|DIAPH3","blue"
"gene-PCDH17|PCDH17","grey"
"gene-OLFM4|OLFM4","salmon"
"gene-CNMD|CNMD","lightcyan"
"gene-SUGT1|SUGT1","turquoise"
"gene-ELF1|ELF1","blue"
"gene-WBP4|WBP4","brown"
"gene-RGCC|RGCC","tan"
"gene-MTRF1|MTRF1","turquoise"
"gene-NAA16|NAA16","grey"
"gene-VWA8|VWA8","brown"
"gene-DGKH|DGKH","darkslateblue"
"gene-TNFSF11|TNFSF11","blue"
"gene-AKAP11|AKAP11","brown"
"gene-EPSTI1|EPSTI1","turquoise"
"gene-DNAJC15|DNAJC15","brown"
"gene-LACC1|LACC1","blue"
"gene-ENOX1|ENOX1","grey"
"gene-LOC115495125|LOC115495125","darkorange"
"gene-TSC22D1|TSC22D1","green"
"gene-NUFIP1|NUFIP1","yellowgreen"
"gene-GPALPP1|GPALPP1","magenta"
"gene-KCTD4|KCTD4","brown"
"gene-GTF2F2|GTF2F2","brown"
"gene-LOC115497790|LOC115497790","turquoise"
"gene-TPT1|TPT1","pink"
"gene-LOC115497789|LOC115497789","turquoise"
"gene-SLC25A30|SLC25A30","grey"
"gene-COG3|COG3","black"
"gene-ZC3H13|ZC3H13","turquoise"
"gene-CPB2|CPB2","skyblue"
"gene-RUBCNL|RUBCNL","blue"
"gene-LCP1|LCP1","blue"
"gene-LRCH1|LRCH1","black"
"gene-HTR2A|HTR2A","green"
"gene-LOC140684150|LOC140684150","lightcyan"
"gene-ESD|ESD","yellow"
"gene-SUCLA2|SUCLA2","green"
"gene-NUDT15|NUDT15","yellow"
"gene-MED4|MED4","turquoise"
"gene-LOC121470752|LOC121470752","turquoise"
"gene-ITM2B|ITM2B","black"
"gene-RB1|RB1","brown"
"gene-LPAR6|LPAR6","blue"
"gene-ARL11|ARL11","blue"
"gene-KPNA3|KPNA3","brown"
"gene-LOC100224365|LOC100224365","red"
"gene-FNDC3A|FNDC3A","brown"
"gene-CAB39L|CAB39L","grey"
"gene-CYSLTR2|CYSLTR2","midnightblue"
"gene-CDADC1|CDADC1","darkgreen"
"gene-SETDB2|SETDB2","brown"
"gene-PHF11|PHF11","blue"
"gene-RCBTB1|RCBTB1","blue"
"gene-SPRYD7|SPRYD7","brown"
"gene-LOC115495302|LOC115495302","turquoise"
"gene-TRIM13|TRIM13","brown"
"gene-LOC140684186|LOC140684186","orangered4"
"gene-LOC105758667|LOC105758667","blue"
"gene-KCNRG|KCNRG","green"
"gene-FAM124A|FAM124A","white"
"gene-RNASEH2B|RNASEH2B","turquoise"
"gene-DHRS12|DHRS12","royalblue"
"gene-INTS6|INTS6","turquoise"
"gene-LOC115495315|LOC115495315","turquoise"
"gene-WDFY2|WDFY2","purple"
"gene-ATP7B|ATP7B","tan"
"gene-ALG11|ALG11","brown"
"gene-NEK5|NEK5","mediumpurple3"
"gene-NEK3|NEK3","grey"
"gene-CKAP2|CKAP2","blue"
"gene-VPS36|VPS36","brown"
"gene-THSD1|THSD1","salmon"
"gene-LOC100228216|LOC100228216","grey"
"gene-LOC100231076|LOC100231076","blue"
"gene-SLC25A15|SLC25A15","black"
"gene-MRPS31|MRPS31","yellow"
"gene-FOXO1|FOXO1","grey"
"gene-COG6|COG6","black"
"gene-LHFPL6|LHFPL6","blue"
"gene-NHLRC3|NHLRC3","brown"
"gene-PROSER1|PROSER1","turquoise"
"gene-FREM2|FREM2","turquoise"
"gene-LOC100231134|LOC100231134","darkturquoise"
"gene-TRPC4|TRPC4","red"
"gene-POSTN|POSTN","blue"
"gene-UFM1|UFM1","royalblue"
"gene-SMAD9|SMAD9","navajowhite2"
"gene-SUPT20H|SUPT20H","black"
"gene-EXOSC8|EXOSC8","ivory"
"gene-ALG5|ALG5","magenta"
"gene-SERTM1|SERTM1","blue"
"gene-CCNA1|CCNA1","darkgreen"
"gene-RFXAP|RFXAP","yellow"
"gene-SPART|SPART","lightcyan1"
"gene-DCLK1|DCLK1","midnightblue"
"gene-NBEA|NBEA","turquoise"
"gene-MAB21L1|MAB21L1","thistle2"
"gene-RFC3|RFC3","brown"
"gene-KL|KL","grey"
"gene-STARD13|STARD13","red"
"gene-LOC115495505|LOC115495505","grey"
"gene-PDS5B|PDS5B","brown"
"gene-BRCA2|BRCA2","blue"
"gene-N4BP2L2|N4BP2L2","brown"
"gene-LOC140680228|LOC140680228","darkslateblue"
"gene-N4BP2L1|N4BP2L1","green"
"gene-FRY|FRY","blue"
"gene-B3GLCT|B3GLCT","grey"
"gene-ALOX5AP|ALOX5AP","blue"
"gene-HSPH1|HSPH1","red"
"gene-USPL1|USPL1","turquoise"
"gene-LOC105758664|LOC105758664","turquoise"
"gene-KATNAL1|KATNAL1","blue"
"gene-HMGB1|HMGB1","blue"
"gene-LOC121470071|LOC121470071","turquoise"
"gene-UBL3|UBL3","green"
"gene-SLC7A1|SLC7A1","blue"
"gene-MTUS2|MTUS2","blue"
